target,sp_Mn__vs__mln_Mn,sp_Mn__vs__si_Mp,sp_Mn__vs__mln_Mp,sp_Mn__vs__si_Mn,sp_Mn__vs__sp_Mp,sp_Mn__vs__sp_Ame,sp_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__mln_Mp,mln_Mn__vs__si_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Ame,mln_Mn__vs__pre_inj,si_Mp__vs__mln_Mp,si_Mp__vs__si_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__sp_Ame,si_Mp__vs__pre_inj,mln_Mp__vs__si_Mn,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Ame,mln_Mp__vs__pre_inj,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Ame,si_Mn__vs__pre_inj,sp_Mp__vs__sp_Ame,sp_Mp__vs__pre_inj,sp_Ame__vs__pre_inj
Ncoa4,0.9032207867374389,0.8390827534647434,2.0993205852202257,2.4548050372849692,1.2389757235496297,1.1614271932127649,1.060394658810903,1.2399669214279447,1.473794742696393,1.8528436830579718,1.054116910926609,1.6809513636271862,1.5916455951917678,2.374134515463018,2.9093425068877714,1.03595428303201,0.5431684124996798,0.8288101200172513,1.1021865665514414,1.4868365211815535,2.678976092080847,2.9435799297545207,2.252393678807569,3.318055900876973,3.2409342803255203,1.273511237748354,1.7902755213477133,1.1231666184713371
Ncoa5,1.8098468274119308,0.765514464203494,2.2067593068297615,0.15485829722560435,2.53353150227979,1.3734786793026794,4.600086286856193,1.5919794457416432,0.7488338156905013,1.6672071198226068,1.7482920572785807,0.6863972513219867,3.03212295197085,2.202196683430297,0.6533751398708751,2.8301136153686866,1.460709704958065,4.598622351292244,2.090909001938483,1.0877779743058773,0.8339072132577995,2.4124390598117835,2.4735034013779176,1.2612580796295219,4.493245322536343,1.400533484355929,2.379456757248811,3.232343126368801
Ncoa6,3.0911756236730734,2.8277759655091326,2.842987020564607,1.6615698384489548,0.3936969458424642,0.8092909101330932,0.028292871353627902,0.26339965816394084,0.248188603108467,1.429605785224119,2.6974786778306097,2.2818847135399807,3.0628827523194455,0.01521105505547382,1.1662061270601782,2.434079019666669,2.01848505537604,2.7994830941555047,1.181417182115652,2.449290074722142,2.0336961104315137,2.814694149210979,1.2678728926064904,0.8522789283158615,1.6332769670953267,0.415593964290629,0.36540407448883633,0.7809980387794653
Ncoa7,0.9614604758664147,1.2388273732576116,0.288498925699027,1.5440164157703342,1.6396937519175685,1.3334327049276615,3.0525522014659296,0.29760434482336534,1.2467927535167291,2.449379347950116,2.4427419113219746,0.4655106132171812,2.2830725183362355,1.5189555126467698,2.6850695878487145,2.6409719345384697,0.4533568041950483,2.0046049793734007,1.2680383272730267,1.4034464161395306,1.6211955918750345,3.276646424445762,0.47231929223843855,2.8647692375599396,4.119598605148439,2.888808169610469,3.8702081658823477,2.3156819577498724
Nr0b1,2.4251436826160306,4.072383811088985,3.898027843318342,4.244098527269892,1.4614330866421115,2.2426687116572483,3.4821659677808974,4.65797810798581,4.7502395717584545,6.256547231386513,1.907375778780241,0.2211844420963845,4.086195254024511,1.220386542489886,3.558116230002935,3.034546583664528,4.675020967028048,7.363868221844574,3.0507163280003553,3.0021281149815118,4.746763022625202,7.3579887454071695,4.39027602841525,6.148802310200721,7.129514824242906,1.8431543666485233,4.632585112482063,3.8895695715170184
Nr0b2,2.7920535285513455,4.500368798568507,4.709667074115727,3.1044605111211196,3.2437322312559056,4.458002862344207,0.8605063431700504,5.276206270699464,2.3416401511200164,5.33531102927137,3.6793758543732586,3.4713945532784143,2.0363239281576155,5.163933608365359,2.9132354284382327,1.5969768126070456,2.944863774461973,4.907727998962354,6.398088019065978,3.802815675747208,2.36853493786612,4.1505214783373425,2.9251948392272724,4.8926141137546,3.8937095072832593,1.9710895921691083,3.4795960820494454,4.318321604900332
Nr1d1,5.038936519435951,2.263585511510152,3.518645448681508,1.2983486259288828,2.740403532074589,4.142320177119965,5.772565418675273,2.8282520609030235,2.2702923482987427,4.696428291629081,7.7167812089347905,8.490131007852938,10.768087866500704,2.011690832349914,1.9265178231125637,4.891351366878488,6.124265452227542,7.941923327297174,3.7619621012578746,6.244509883333995,6.3581223839146,9.236703059419732,3.178688915747776,5.3651234015207425,6.180001399005085,3.6585915885810474,3.051396462140445,4.820311310805156
Nr1d2,0.3261072988506665,1.9002505985983142,3.6139374806388185,1.7754876927462107,2.337718382738707,0.8265064533787884,2.2868114238754216,1.6587124697949824,3.293150489497698,1.4501356598513568,2.5052944183708035,0.6564445331906901,2.145219314030169,2.7573999612585554,1.1198931657443572,4.148961081248621,2.033537800766437,0.8758228370661353,1.9312938265248525,4.863357020126147,3.0105301845721923,3.5705553545159607,3.5919405423885613,1.4219057369002586,1.9897795731887995,2.18597483848085,4.623877782289067,2.670747771840542
Nr1h2,3.552126645093897,0.3232905319832179,0.3604578862300192,4.762869535871497,1.7094778458244722,4.34678005912377,3.1530046657889117,3.6957014644517914,3.3534721066705635,6.93619917394298,5.243554082599905,6.057617490679728,4.708452534080492,0.3431686206219016,4.9917181304237905,1.661636186544058,4.619185730715128,3.4527934966681095,5.113837115320033,1.984791512272751,4.672802002687124,3.448051080331903,4.109301573110844,1.080460468543512,2.242439779851953,4.096675666999142,3.3393196159109886,1.377667732215563
Nr1h3,2.0728901495652106,3.323980343221968,3.7243381772831214,3.0859567163604016,1.3134969590703498,1.9497789429748995,0.501771065249013,1.860170683966906,2.3931769916093804,3.307610591670944,2.0352073231937866,1.00714988674422,2.0390268056494136,0.5406253891727849,5.167706788631381,3.784348568408831,2.865670384936792,3.523903617368923,5.700090666157255,4.279390241981145,3.400044899765844,3.966206039796464,1.7903487743331927,2.303055497183573,2.5846168405629637,1.2891744462224415,0.8224723102299962,1.6749716044139111
Nr1h4,0.5370937647132551,4.006550027355393,1.2653462988654975,5.3990956562447625,0.6876768786819818,1.2178553459430415,0.8553380523603845,4.524624331986572,1.716629205363358,5.895918885312344,0.24069759693179277,0.7140828708068708,0.7622777474031901,2.8804537764701377,1.5073275423835717,4.694026129153264,5.2242751057576715,4.6491990880209215,4.193806774459459,1.9227391537549985,2.430660755735088,2.081402953176996,6.0838469283990495,6.607106210155027,6.095325532170299,0.5316270718450185,0.5947912434671712,0.8781796169458636
Nr1i2,0.9375921667115844,5.9971345852358695,0.8115037600045742,3.157715833314212,1.1772449246754735,1.2945864706185428,1.8157281970952752,6.41312193710841,1.1228525490268066,3.3749582396244593,1.8036878585046583,1.9164519642515132,2.180226000348093,5.506407895726895,3.122094120628526,4.862038250979025,5.6790881914247135,4.301573587187397,2.5990935106030193,1.0841563118533697,1.0511662139782285,1.2088863806054795,2.155026089551597,3.128339419511906,1.4541008938083468,1.5919679553697748,1.0045989810122407,1.6958556219679852
Nr1i3,4.740033323305592,4.8678944347894975,1.5125022353217588,4.9992988990848035,6.314001094525344,6.207938663847948,7.3015376633135105,6.523535447397477,3.492029517355761,5.028356828122022,7.346197434487865,7.083253513817897,6.835009125291026,4.8057784215436925,2.4312752844364938,5.214888418441155,5.94057712075922,5.130266766945795,4.1979608873397805,5.5928570676881035,5.389994134734938,6.276997493140565,4.0692456733087825,4.614370583257461,3.2482208653394276,1.1086364393342725,2.6339702978168327,3.193334477173078
Nr2c1,1.2914015801954841,8.006324525297517,2.35460767599597,6.3197088715586,3.480733876310549,1.7767620616735509,3.2256553896835976,6.74910928732274,1.1252771913125432,5.147430229366619,2.4653668669630093,0.48619677005089745,2.592193829448523,5.651717079486374,2.10133043367675,5.961097868971779,6.289513386317068,5.809733219573529,4.0226962859920405,2.3873674350774294,0.7452123184509262,1.9900622843690623,5.071384832419262,4.740210391550979,3.7786788675858065,2.133834633539225,4.361040472865034,2.522558230813062
Nr2c2,4.0493445717376275,4.8830979132651,0.4580883208583301,0.6272677299601384,2.888323946155566,3.4743598274956113,8.799779967834205,8.932442485002726,3.591256250879297,4.676612301697766,1.1610206255820614,0.5749847442420161,4.750435396096577,5.34118623412343,4.255830183304962,7.771421859420665,8.35745774076071,13.682877881099303,1.0853560508184683,2.430235625297236,3.016271506637281,8.341691646975875,3.5155916761157044,4.10162755745575,9.427047697794343,0.5860358813400453,5.911456021678638,5.3254201403385935
Nr2e1,4.529655983881427,0.4921874777781233,1.517779871476842,1.3624316800051806,2.8992921221075196,3.175000858296804,5.7321928257928585,4.802070542006706,5.814188876893363,4.34895164088804,3.293241312546376,1.3566267439677357,1.68539143060647,1.0771634992157604,1.0906552649744286,2.8084878299837444,3.4621160208185136,5.90083166665579,1.6424998385851757,3.42158197264574,4.493692294285745,6.802797286362629,1.7989758445961443,3.10993920729232,5.19628526703989,2.4646829573154996,3.667462507645731,2.7721399741559543
Nr2e3,2.0297527239290587,2.4998656784086486,2.34422506837909,5.108446236285825,4.17937601453434,1.5922435313929382,2.487505121115937,1.7502327345169473,2.355596265513881,5.024578045179949,5.1923118153464225,2.8930943269362497,3.682444489583917,1.9476464188301632,4.906254093807585,5.894092354716121,3.4917465510381707,3.819330714615983,6.328575286049713,6.003477141466749,3.501879674985214,2.1783867108665373,4.510673337527339,4.366729885833184,7.286421105085928,2.612351447753672,5.568408184058149,3.363018664506318
Nr2f1,5.907464761935543,10.234204065153293,7.435387024398785,2.3925480259098033,4.832614393246913,5.979808342364485,4.2397854704120945,4.3267393032177495,1.5279222624632423,3.514916736025739,1.0748503686886295,0.07234358042894229,1.6676792915234486,2.798817040754507,7.841656039243488,5.401589671906379,4.254395722788806,5.994418594741198,5.042838998488981,2.602772631151872,1.4555786820343,3.1956015539866907,2.44006636733711,3.5872603164546817,1.8472374445022908,1.1471939491175716,0.5928289228348191,1.740022871952391
Nr2f2,4.522747653635316,6.416422632407072,3.369110226651256,7.509140741318758,3.073384045242307,4.8126061390602795,5.192067716266449,3.8571840394340002,2.407296353207359,4.5470998126833235,2.5084572741738915,2.610729997527123,1.8135431453449682,3.1159770135095193,1.2149570552287268,5.6019117860875225,6.1814208059888305,2.2847999410440623,4.153491620978601,2.9008031695991408,4.158213880066361,2.2529741600890927,6.381647133150796,6.718497491858122,3.1081068567063075,1.8268153651197272,4.001279092996342,4.3980436286482885
