target,si_Mp__vs__si_Mn,si_Mp__vs__mln_Mn,si_Mp__vs__pre_inj,si_Mp__vs__sp_Ame,si_Mp__vs__sp_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__mln_Mp,si_Mn__vs__mln_Mn,si_Mn__vs__pre_inj,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__mln_Mp,pre_inj__vs__sp_Ame,pre_inj__vs__sp_Mn,pre_inj__vs__sp_Mp,pre_inj__vs__mln_Mp,sp_Ame__vs__sp_Mn,sp_Ame__vs__sp_Mp,sp_Ame__vs__mln_Mp,sp_Mn__vs__sp_Mp,sp_Mn__vs__mln_Mp,sp_Mp__vs__mln_Mp
Nr0b1,-3.7589668718492053,-9.582222374948934,-12.206550121619108,-9.7601589751806,-9.768924346791653,-7.06394993474693,-7.857588624500295,-5.823255503099729,-8.447583249769902,-6.001192103331395,-6.009957474942448,-3.3049830628977244,-4.0986217526510895,-2.6243277466701738,-0.17793660023166602,-0.18670197184271942,2.5182724402020042,1.724633750448639,2.4463911464385077,2.4376257748274544,5.142600186872178,4.348961497118813,-0.008765371611053396,2.6962090404336703,1.9025703506803051,2.7049744120447237,1.9113357222913585,-0.7936386897533652
Nr0b2,-7.2251446789958065,-10.399182720191654,-15.341068022386553,-11.009839632255314,-12.307741747120955,-9.331096252744986,-12.045610472953756,-3.1740380411958475,-8.115923343390747,-3.784694953259508,-5.082597068125149,-2.1059515737491807,-4.8204657939579505,-4.9418853021949,-0.6106569120636607,-1.9085590269293011,1.0680864674466666,-1.6464277527621032,4.33122839013124,3.033326275265599,6.009971769641567,3.295457549432797,-1.2979021148656404,1.6787433795103273,-1.0357708406984425,2.9766454943759677,0.2621312741671981,-2.7145142202087698
Nr1d1,5.712828064175151,-1.423678725034608,-13.160663248910902,-12.696849613770546,-5.116628070917649,-8.871067352749916,-9.746189950385618,-7.136506789209759,-18.873491313086053,-18.409677677945698,-10.8294561350928,-14.583895416925067,-15.459018014560769,-11.736984523876295,-11.273170888735939,-3.6929493458830414,-7.447388627715308,-8.32251122535101,0.46381363514035695,8.044035177993253,4.289595896160987,3.414473298525285,7.580221542852897,3.82578226102063,2.950659663384928,-3.754439281832267,-4.6295618794679685,-0.875122597635702
Nr1d2,-5.245926608906184,-6.26941505152637,-8.959736569321691,-10.47088233667487,-9.870489778148363,-10.124855083087368,-6.06762088290581,-1.023488442620187,-3.713809960415508,-5.2249557277686876,-4.62456316924218,-4.878928474181184,-0.8216942739996256,-2.690321517795321,-4.2014672851485,-3.601074726621993,-3.8554400315609976,0.20179416862056124,-1.5111457673531798,-0.9107532088266718,-1.1651185137656768,2.8921156864158823,0.600392558526508,0.346027253587503,4.403261453769062,-0.25436530493900494,3.802868895242554,4.057234200181559
Nr1h2,-6.458874798050601,-2.820825485393101,-7.033361730000482,-10.545456821403482,0.4062984074093521,-3.8556116067246293,-3.61798156110842,3.6380493126575004,-0.5744869319498799,-4.08658202335288,6.8651732054599535,2.603263191325972,2.8408932369421813,-4.212536244607381,-7.72463133601038,3.227123892802453,-1.0347861213315284,-0.797156075715319,-3.512095091403,7.439660137409834,3.177750123275852,3.4153801688920615,10.951755228812834,6.689845214678852,6.927475260295061,-4.261910014133981,-4.024279968517772,0.2376300456162094
Nr1h3,-2.8777926226874038,-2.355078690785381,-7.954081149303893,-5.2271284665631255,-6.710227948207361,-6.490093967560313,-4.851997732876602,0.522713931902023,-5.07628852661649,-2.3493358438757213,-3.8324353255199575,-3.612301344872909,-1.9742051101891984,-5.5990024585185125,-2.8720497757777443,-4.355149257421981,-4.135015276774932,-2.4969190420912213,2.726952682740768,1.2438532010965322,1.4639871817435808,3.1020834164272912,-1.483099481644236,-1.2629655009971874,0.3751307336865229,0.2201339806470486,1.858230215330759,1.6380962346837105
Nr1h4,-0.9332169203513558,-3.1762531442372555,-4.369273467193395,-3.3917408626554724,-3.3308885748831805,-3.4655904637472665,-1.936761503078183,-2.2430362238858996,-3.436056546842039,-2.4585239423041165,-2.3976716545318246,-2.5323735433959107,-1.0035445827268272,-1.1930203229561396,-0.2154877184182169,-0.154635430645925,-0.28933731951001107,1.2394916411590724,0.9775326045379226,1.0383848923102146,0.9036830034461284,2.432511964115212,0.0608522877722919,-0.07384960109179417,1.4549793595772893,-0.13470188886408607,1.3941270718049974,1.5288289606690835
Nr1i2,-2.0477644752383526,-2.084406308021883,-7.19926619343007,-2.163221752413328,-1.319892238466501,-2.6624420230926304,-2.256016200522623,-0.036641832783530504,-5.151501718191717,-0.11545727717497556,0.7278722367718515,-0.6146775478542779,-0.2082517252842706,-5.114859885408187,-0.07881544439144506,0.764514069555382,-0.5780357150707474,-0.1716098925007401,5.036044441016742,5.879373954963569,4.5368241703374395,4.943249992907447,0.8433295139468271,-0.4992202706793023,-0.09279444810929505,-1.3425497846261294,-0.9361239620561221,0.40642582257000726
Nr1i3,-8.906596695868,0.16407579762120506,-13.94928918521934,-8.098689805252766,-2.9139262925979583,-12.040082545235565,-0.3635697926431636,9.070672493489205,-5.0426924893513405,0.807906890615234,5.992670403270042,-3.133485849367565,8.543026903224836,-14.113364982840546,-8.262765602873971,-3.0780020902191634,-12.20415834285677,-0.5276455902643686,5.8505993799665745,11.035362892621382,1.9092066399837755,13.585719392576177,5.184763512654808,-3.941392739982799,7.7351200126096025,-9.126156252637607,2.5503564999547947,11.676512752592402
Nr2c1,-3.2722142124334774,-2.122593613036097,-6.477127994269821,-3.601157070564554,-1.8390600283961003,-0.5683668967968339,-3.3339859376070913,1.1496205993973803,-3.204913781836344,-0.3289428581310763,1.4331541840373774,2.7038473156366436,-0.061771725173613845,-4.354534381233724,-1.4785634575284565,0.2835335846399971,1.5542267162392633,-1.211392324570994,2.8759709237052675,4.638067965873721,5.908761097472987,3.14314205666273,1.7620970421684536,3.03279017376772,0.2671711329574625,1.2706931315992662,-1.4949259092109912,-2.7656190408102574
