target,si_Mp__vs__si_Mn,si_Mp__vs__mln_Mn,si_Mp__vs__pre_inj,si_Mp__vs__sp_Ame,si_Mp__vs__sp_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__mln_Mp,si_Mn__vs__mln_Mn,si_Mn__vs__pre_inj,si_Mn__vs__sp_Ame,si_Mn__vs__sp_Mn,si_Mn__vs__sp_Mp,si_Mn__vs__mln_Mp,mln_Mn__vs__pre_inj,mln_Mn__vs__sp_Ame,mln_Mn__vs__sp_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__mln_Mp,pre_inj__vs__sp_Ame,pre_inj__vs__sp_Mn,pre_inj__vs__sp_Mp,pre_inj__vs__mln_Mp,sp_Ame__vs__sp_Mn,sp_Ame__vs__sp_Mp,sp_Ame__vs__mln_Mp,sp_Mn__vs__sp_Mp,sp_Mn__vs__mln_Mp,sp_Mp__vs__mln_Mp
Ncoa6,0.8372357789933823,0.35732879933809547,0.07833572661736808,0.33230650488045066,0.41778814835611244,0.3383551185463106,0.28870768618778025,0.4316177654282447,0.09989559606793927,0.42319026918066904,0.5143775280705896,0.5042386768412626,0.4174136368366782,0.20526967103134494,0.8861001273270236,0.97266991855088,0.9710759608265058,0.9390087821072066,0.21403590191809208,0.24531054182882064,0.1891246065781792,0.2255469608356024,0.8637465760406848,0.8351436567100353,0.9449280938676428,0.9982212837260103,0.9291955552871677,0.9135023723775879
Ncoa7,0.47388750149847514,0.5541132596317966,0.4050457142929055,0.44943774022058036,0.4427712403566333,0.264222280766843,0.4147020663335651,0.9288247805134532,0.7953717390370612,0.9025911566455691,0.8724967374989757,0.7252705202517367,0.9388792640931914,0.6732280111804065,0.7795920540499623,0.7428984237738402,0.566260577724537,0.8182688979402566,0.8410818651251288,0.9040718314919303,0.9317238661347942,0.8055069153795367,0.9544644951249537,0.7147919544706187,0.9465850263302125,0.8056868914916198,0.9111277215736894,0.6914526802807186
Nr0b1,0.7098702387921949,0.20257496264673044,0.5027048895830128,0.4234718501790464,0.2641112636096283,0.7547325921776578,0.5484197678732111,0.32076168944953526,0.7014021614675414,0.6336041838097197,0.41196464527338783,0.9549690657683042,0.8367253531134772,0.5787351714081512,0.5665658188012215,0.9517878005878638,0.20649093508725883,0.28855062019527683,0.9364063671132574,0.6517590582625313,0.5756871259725607,0.7926007846959797,0.6252113575253939,0.3915232940294845,0.7091832256966081,0.23394602962586072,0.4402877073677931,0.7288952475965412
Nr0b2,0.27596218715853105,0.20201978570465942,0.25123129338203515,0.34611939822783244,0.14830685964109272,0.43639126756950697,0.14395831674619278,0.7821427726476335,0.7833759150592309,0.9802590170687683,0.5931314315699104,0.7737167845919749,0.7391993523941018,0.952913118298878,0.7076154223035541,0.6834892057884057,0.4780473112139376,0.9237362276887346,0.6836026776307195,0.7890640468972054,0.4881962971269861,0.988532890686294,0.4458981188845349,0.6744240046024595,0.666232822281507,0.271270469836866,0.7765169117164442,0.40212654081266896
Nr1d1,0.07678177937519999,0.5581169711555314,0.4509392222251919,0.20546698063697766,0.9253527997646636,0.501288492317455,0.343022154952937,0.24443158699527942,0.02477299064152567,0.004244432228464032,0.10006466389871682,0.02912884247350212,0.008890214316871328,0.10829360491466505,0.012335288707484323,0.37926503757127383,0.1284752747619134,0.033468070301753514,0.5686262372516931,0.4356442026474845,0.7742040186230293,0.9893798315652751,0.11370134728528125,0.2727832841154214,0.5545371397170167,0.5084122167301243,0.38829936890244066,0.7484358254704754
Nr1d2,0.513571387291633,0.6720842549604716,0.9954193034163323,0.40247936209297586,0.321739665816866,0.3408389844893138,0.9101894461421327,0.8365710581643526,0.5892399542316842,0.7926050027950391,0.6554863738934461,0.7921108685731002,0.5954613429010365,0.6393125256600367,0.5365055911216007,0.38896699276709856,0.5519618540087889,0.6397224730782176,0.28335034808509735,0.2741247360497009,0.3173621354490381,0.9131862451666717,0.7930789591549878,0.9972674998253157,0.3321162166328363,0.7980671584006519,0.26536556786438137,0.2921819074131181
Nr1h2,0.35905458984107064,0.7682600427387455,0.7339153986437795,0.3956508514606868,0.3424174964483534,0.6553742609686973,0.6568525776802406,0.21426547433089546,0.2627104520558797,0.9716891077441094,0.0768564572460977,0.22239386461052485,0.18802973322150918,0.9112437077909503,0.11601357888008601,0.33581000027741414,0.8788565870961828,0.8701420417480674,0.11406834370661643,0.511515369335729,0.9810131037012626,0.9890277238967677,0.013854477391340898,0.046223424970375064,0.10715644114717437,0.42651863099014586,0.4696568940750352,0.9905789770929034
Nr1h3,0.898326625782571,0.6948984026193519,0.8613004326765267,0.847339952447175,0.6933593686315687,0.8865114976204878,0.870061522945926,0.5800316838910751,0.773681994606993,0.7554691992727331,0.7699858208719779,0.990455343739298,0.7796983608913293,0.8312517857397682,0.8026254243798854,0.28843871522239484,0.5032769104001156,0.7221337925278741,0.9986561281219111,0.5201143834110158,0.7021263005266944,0.952381928048333,0.4150334919373174,0.6064292350865863,0.9463405042004258,0.7034524402789711,0.5101778407130391,0.7040524402407352
Nr1h4,0.7621608896245052,0.8255034941081492,0.4142840101491344,0.5816014237042747,0.8078447588721184,0.5951957570842362,0.4094967843075351,0.945835933415742,0.5562111760400703,0.7735312533128211,0.9883698914765454,0.8400872728934887,0.6239916804024568,0.41223869029137783,0.6270369138490266,0.9512518548769323,0.7249820988952206,0.43147756203699283,0.6577060618717023,0.4925837264138301,0.6063668954152102,0.8279922397624664,0.6850010748889004,0.8909595580215414,0.8327784069093889,0.7736173663089398,0.5813522374936733,0.7255640469546191
Nr1i2,0.9490100436342548,0.6096780920283564,0.72116274319423,0.36392757042760404,0.47624554729864743,0.41482232633567573,0.39044609779998796,0.6223231281679564,0.7519401676466387,0.3832221799777169,0.4962230648950574,0.5003125712666049,0.4443921788200702,0.9085506450393721,0.5462672771296372,0.7228047612289082,0.7512279656529499,0.681501413020873,0.4973208175430509,0.7033334271237166,0.6895378473448447,0.6666612966804525,0.8195493654784817,0.7535343560341212,0.8278620413991985,0.9727988822648499,0.9969072677378464,0.9671664502982792
Nr1i3,0.09232587922929121,0.29733210621670036,0.30132408857546417,0.6712473656521303,0.7115020495133677,0.11464760912816775,0.17645341026544561,0.004945568492736753,0.7349779611669427,0.2803464549821199,0.06570042595931229,0.9237358953935998,0.003592879511872584,0.013031175425366057,0.0520622256975604,0.41112554729288053,0.0018216183470977996,0.7778000926231405,0.36103136204615216,0.11053340387878144,0.7499205300942884,0.006766816211605813,0.28066202198148055,0.11540218793930537,0.03804826836217735,0.019956717173217266,0.34237995291059276,0.0003457378145422785
Nr2c1,0.8291691486769162,0.6619489611514389,0.6611147330806584,0.6107073581472707,0.6026379576256313,0.24118943250737632,0.6133613752445245,0.4890729159406192,0.5266356306205966,0.4761695287464891,0.4695733249385874,0.21563332025852325,0.4878810207313755,0.9373473173629763,0.8917560253485053,0.8583828898792465,0.40102375805372115,0.970240584232421,0.9684775196326889,0.9446935829234451,0.5040196774510302,0.9599401519895989,0.9628550808909309,0.395527249017235,0.923992414417725,0.5129623196577184,0.8981574145452762,0.3927604116158234
Nr2c2,0.9918200816849156,0.5552784898270311,0.9599981479204185,0.6175140182040062,0.5635145085910229,0.7628528826239864,0.4587141097445656,0.5291726572156836,0.9517721592493632,0.6172038455447075,0.5590590315380295,0.7947788074118758,0.4853754247593485,0.4642955587577515,0.9350006305873629,0.9539109197256652,0.6920049339135635,0.8975204963207941,0.47284586139811524,0.48505006836266307,0.6990282508130692,0.40680849591163926,0.8921393841912144,0.7033745512349661,0.8534524349815902,0.6542839156640574,0.961504453501058,0.5909702848222809
Nr2e1,0.4716456184420692,0.1587279172969834,0.3532711675259369,0.355544366294158,0.44936395656828665,0.5694119475272732,0.9633644224150706,0.024847728979294426,0.12004801673870782,0.11315940014038577,0.16064033970519748,0.2495642990613582,0.5093320225654804,0.7059320688467303,0.5626342248932927,0.456446324988942,0.25999079464830643,0.03508956779176924,0.9026331523665521,0.8038706248511327,0.5315804140509716,0.20984662946608595,0.8511582770187927,0.4919083383117382,0.20756279168196176,0.7025141187934552,0.32297790610370136,0.4414181539375701
