name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Nr1d2-6,3224,8398,7529,13319,1516,4957,405,1907,8464,8004,14762,5320,1027,3438,1464,1984
Nr1h2-1,188,2,5,1,1,1,5,352,2,743,25,0,17,0,0,4
Nr1h2-2,8645,1105,2468,4306,4385,824,1787,4750,6161,20806,20343,5954,16729,7791,10284,6762
Nr1h2-3,4064,5591,587,1140,2546,8530,217,1900,2911,3801,1231,657,1607,2743,1600,793
Nr1h3-4,67664,59378,28286,52898,22453,16703,7640,10010,40855,56611,62179,25471,74073,48602,36815,61649
Nr1h3-5,3593,952,1669,2407,5237,959,753,473,1217,1377,679,2155,1724,884,1562,94
Nr1h3-6,23617,12873,18546,30604,636,1284,2815,20492,24409,7361,14401,6063,6762,7720,680,2957
Nr1h4-1,14997,13968,8705,19351,23057,17585,41758,55768,11972,2737,8670,4754,1084,932,640,1953
Nr1h4-2,383599,272925,250623,297131,266064,286793,160114,203749,250069,406252,349761,386121,322217,388105,119687,248875
Nr1h4-3,6240,1270,1724,1969,1953,1562,584,79,5475,9194,6205,5306,1558,6055,400,485
Nr1i2-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nr1i2-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nr1i2-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nr1i2-4,10662,6082,4120,5840,6627,9070,1304,7126,12968,2620,3472,3381,5721,6852,1076,1409
Nr1i2-5,1,0,4,0,3,1,9,2,2,2,1,1,4,1,1,0
Nr1i2-6,23440,4972,5437,6682,5748,1743,96359,30841,18873,3153,8866,557,4260,4936,25,109
Nr1i2-7,30597,9316,9187,18732,6375,20453,3743,8674,27346,24437,29116,26532,28496,24143,1746,5952
Nr1i2-8,33915,10260,6760,9260,14335,6747,7975,4145,27521,33620,14419,12155,13175,11280,9126,12432
Nr1i3-1,5586,10835,13973,6046,2417,82,2691,40,5034,2591,9030,4743,936,292,183,5250
Nr1i3-2,3173,0,105,78,71,693,21,2107,6914,6220,6184,2270,2128,4521,98,315
Nr1i3-3,2620,29,106,334,0,157,0,2,6211,70,2,0,4,613,369,3
Nr1i3-4,5694,1274,3156,0,0,0,56,0,3762,1,0,0,7,2,7,731
Nr1i3-5,7355,620,846,3023,1869,927,61,1956,1421,283,1566,1251,283,3088,4640,10336
Nr2c1-1,4562,9837,7040,9785,8770,5876,2235,3683,4836,3490,4643,1280,1610,4216,340,37
Nr2c1-2,12769,3414,1675,1709,4049,3314,33158,27853,5451,3847,2785,1205,4827,1229,545,2402
Nr2c1-3,2828,1422,47,1827,275,478,143,32,1684,66,244,26,1109,762,7,628
Nr2c2-4,2,2,4,3,7,4,5,2,0,0,1,0,5,0,1,0
Nr2c2-5,8281,5533,8372,10590,10347,2660,23443,9672,5824,6296,5485,4454,5121,4162,5599,8810
Nr2c2-6,21892,816,123,61,117,272,75,556,19267,4713,5201,1873,2274,3580,515,1403
Nr2e1-1,48131,50166,22939,73438,41674,40772,12260,11137,43675,76253,29853,102067,57842,49423,24904,8528
Nr2e1-2,2539,0,123,79,18,731,0,0,40,553,11,1,1,224,1,0
Nr2e1-3,11769,10758,13039,7052,12019,6530,4762,4770,28299,8759,12317,12924,5466,10132,361,37
Nr2e3-4,2776,5254,6498,4873,6807,2725,3133,13716,4053,1539,816,856,3953,458,2851,469
Nr2e3-5,806,585,181,1012,468,124,118,29,5145,1933,4313,833,2270,1088,196,87
Nr2e3-6,19999,38586,21323,43154,117811,171650,108372,98773,7160,3,465,8402,3791,24067,4190,5354
Nr2e3-7,2943,6685,4933,6159,313,270,782,1294,4160,2744,3668,6596,5577,7197,2960,4009
Nr2e3-8,4436,653,39,331,2987,489,2838,21,9110,7,4,2576,14727,2581,830,0
Nr2f1-1,4977,8750,4106,2018,4744,6560,1928,1966,4257,2186,3588,398,538,555,520,317
Nr2f1-2,0,0,0,1,1,0,0,0,0,1,1,0,2,1,0,0
Nr2f1-3,1488,0,0,0,0,0,0,0,63,0,0,0,0,469,0,0
Nr2f1-4,2151,32917,29076,59484,11988,22460,261,28135,57670,6433,11922,13480,98,4308,1787,2673
Nr2f2-1,3651,414,318,204,267,34,94,249,4124,13228,14172,5973,16443,6046,4760,3318
Nr2f2-2,7142,14,933,13,7810,2046,24435,21690,7864,509,8,716,3697,590,2,744
Nr2f2-3,36037,25580,14762,31765,41143,24591,9434,6177,24041,8866,22702,9082,15278,12022,6044,814
Nr2f2-4,2868,2198,6,49,1334,258,2580,4678,5404,2358,1522,30,1131,4093,1146,0
Nr2f6-1,123,3,3470,176,2029,92,4,527,0,664,0,0,43,70,1,0
Nr2f6-2,3429,6478,1314,10324,4719,6830,1674,10510,1886,1746,4013,1532,7756,2225,3056,1813
Nr2f6-3,10176,493,4634,15194,802,501,0,4518,257,4627,6,46,497,3152,0,0
Nr2f6-4,45417,20780,18348,5755,22144,14052,11857,9772,21861,11299,27772,7485,19126,23246,3315,8094
Nr2f6-5,960,0,543,2,2,731,333,252,16,0,20,38,74,1054,0,17
Nr2f6-6,446,160,0,0,0,0,45,16,1916,0,4,0,0,0,0,0
Nr3c1-1,7459,11122,6491,10847,4381,10383,8319,11194,5791,12331,9268,6266,16959,7915,7530,5035
Nr3c1-2,3752,1535,1694,1951,117,998,615,128,3294,677,678,7481,1082,332,277,1445
Nr3c1-3,4452,8127,4877,313,7,13,73,748,9108,4794,1698,2592,2654,2598,288,418
Nr3c2-4,9,2358,558,535,155,1256,0,3328,2570,300,4,607,73,6665,89,30
Nr3c2-5,65914,37929,25146,40638,29875,18895,8100,13570,42438,60592,47860,26531,60899,35390,12008,11921
Nr3c2-6,13700,41195,26504,17380,21300,24196,11162,4057,10309,12586,12855,5858,9713,3896,5994,6428
Nr4a1-1,3806,1453,2086,1548,274,1183,205,311,5238,1902,1805,2683,2497,4717,798,360
Nr4a1-2,9911,3100,5497,3903,3841,29,223,54,11377,2209,41,1239,9169,185,0,0
Nr4a1-3,7523,13392,16287,20044,11684,10195,17107,20932,4278,11743,8473,4322,17679,6106,16701,7422
Nr4a1-4,27,192,755,164,141,256,0,0,1,2,4722,67,625,51,0,0
Nr4a2-5,2,402,250,0,4,18,840,26,5251,33,0,0,77,0,19,0
Nr4a2-6,5805,622,457,1532,6997,558,7544,2103,5604,6667,5146,864,2485,971,909,664
Nr4a2-7,15782,3,1437,0,5623,5544,1942,1818,8137,11,1440,3696,6964,3286,526,2349
Nr4a3-1,540,2185,530,146,7108,1607,116,1893,1263,127,32,415,62,247,0,200
Nr4a3-2,10491,19477,17944,11919,9246,3909,7417,3658,6355,12099,12881,9656,14078,16786,7179,5031
Nr4a3-3,4385,3199,1981,2465,2863,123,434,209,6660,2851,4770,1809,4015,976,1243,75
Nr5a1-1,14854,25930,25638,21164,63388,48987,38388,27146,5690,10581,12292,12881,14044,7545,3501,5337
