,si_Mn,mln_Mn,mln_Mp,sp_Mp,sp_Mn,pre_inj,si_Mp,sp_Ame
Nr2c1-2,83.60306708157945,72.25302320556577,75.70183712899374,72.65990284348275,69.54087710654571,79.75911233448323,83.56683299666024,74.62100747675059
Nr2c1-3,62.763901630166345,65.50965341341268,65.81258410880547,59.057010867203665,67.20169809072947,71.85340460769419,55.551393920908055,66.20312453186638
Nr2c2-5,80.65830956031549,74.49418515501101,78.90284081162203,79.09366844623676,78.66171324752024,78.26195398845405,82.67234845156327,77.39933707546069
Nr2c2-6,68.16732332431363,71.35642352240468,68.5825666772571,73.63386556246631,67.42526247143866,84.62506314804088,61.66970184895148,73.11160595437033
Nr2e1-1,81.02887632972546,89.70966647976357,89.99704232662374,87.0855462074522,93.1003064035983,89.42070488070203,84.15368175328243,91.4194258525441
Nr2e1-2,43.57963889333246,64.19044426491251,46.89166021331561,55.83278597883454,52.84905993553184,68.8854766214924,43.57963889333246,61.41947619623068
Nr2e1-3,72.94755358835154,79.62613878871151,79.62269119183271,82.6765521892888,80.32897629081714,84.46256583162793,72.67081153643421,80.32282262962734
Nr2e3-4,79.10117978003709,70.34391678055275,76.80121918213827,75.41331181352368,73.18196779113785,74.13086083581669,73.53115384676217,74.24888223420271
Nr2e3-5,54.93046024010364,65.39149732736469,69.29170014478153,72.70341651777036,67.17310222019647,73.36882749157826,58.77314065200072,68.8854766214924
Nr2e3-6,90.95029287451023,93.99579459652725,91.15007421636123,81.76797696036455,86.00783150998626,82.12746186438108,90.74280600317088,84.39791288181388
Nr2e3-7,73.49335805997886,75.00084934451678,73.40742457009759,76.33571165637169,77.70373556776255,74.34821650812303,70.97543886258775,76.09498404277508
Nr2e3-8,48.67349679111055,70.14509646242433,79.70150194540257,50.854673217499844,69.52209457458086,78.02508564330948,70.85754543327782,62.209593376856354
Nr2f1-1,68.9691011452232,74.72981331015994,72.81081088717004,75.70183712899374,68.56029020653311,75.82505785829103,68.73606773829975,76.94701227470168
Nr2f1-4,83.71227207158586,82.44315076447111,77.46830381655472,85.56487532068218,88.08855718471537,86.8737538956491,67.79592658617543,84.51566256815497
Nr2f2-1,71.32904806083509,73.85197328076367,79.35846241023803,79.3548616403833,73.59672154023336,74.85178908271443,72.38037391181891,78.2231060746674
Nr2f2-2,81.81165877399404,69.35018525779564,77.1876345373403,64.57551005916599,62.630836897377584,78.62126546388312,81.6400177098938,61.15618031279529
Nr2f2-3,75.03022209274332,84.32294109070536,86.63112336047594,85.0224759223344,84.60671112985465,86.89987059193253,78.94148295773435,83.71404614822583
Nr2f2-4,72.8001593429351,72.01411492435035,68.73606773829975,66.99832440692222,52.84905993553184,75.20350422241343,70.94619103661623,72.05058075033757
Nr2f6-1,61.66970184895148,56.097922900693675,67.8469066769777,71.3015424291922,56.097922900693675,54.584823011003316,43.57963889333246,62.28225249510471
Nr2f6-2,78.27914105036172,76.09498404277508,77.65166725026316,73.63386556246631,77.28431547776454,72.74661011895017,72.24130712827262,75.32329192304714
Nr2f6-3,72.60505312926789,71.07665284701308,65.47055676628362,72.87431809387867,78.7378380023052,76.52164105134192,43.57963889333246,72.68169999511686
Nr2f6-4,80.45981658759528,84.43584208424407,84.7490007490259,86.27344479109703,77.92134862516562,87.57793362272899,78.8248201982291,83.28610784344531
Nr2f6-5,58.6246979355269,67.31461605211935,52.84905993553184,62.13588516538828,49.906505968925366,63.98681058520869,59.057010867203665,43.57963889333246
Nr3c1-1,79.89257910048332,80.17956703438347,80.79953690149507,79.84951857743583,79.4157901970937,77.89856266184343,79.08238422332764,81.4120730323007
Nr3c1-2,67.05720492561899,65.84927870136525,65.06302702854852,69.27206969005297,75.9709338445113,74.30702807391745,63.6657141645594,68.21501864210907
Nr3c1-3,65.5484671355674,69.29170014478153,69.13270960233604,74.8139377294806,69.52209457458086,78.03402376962923,59.453932952061784,77.90768722591808
Nr3c2-4,71.00453895331965,75.337229063081,57.432553146159414,62.13588516538828,64.75801077481663,68.8854766214924,53.35106268389222,69.17287953037442
Nr3c2-5,82.57486018336972,86.69407892016893,89.46057970368017,89.01510223857014,87.59552440528444,90.38550026302423,80.48385573979476,89.9898490499615
Nr3c2-6,77.34459709478023,82.7309406388845,83.03168238341297,85.31956367621162,81.22610947555692,81.3939857484702,79.54635184056762,86.39623421204632
Nr4a1-1,62.829165867373604,73.68914881144397,69.35018525779564,71.91574222991098,71.53127684039575,75.7083855054831,64.24014370385,70.40868235469388
Nr4a1-2,51.62760541609119,57.23490364285322,77.89856266184343,73.85197328076367,72.58296884945189,80.67868389856268,57.23490364285322,72.88483627809867
Nr4a1-3,83.21338638417942,79.49727504580572,82.70380660286266,82.53413765835471,81.50680582635722,77.22852922597902,83.58497689390383,81.82615084429322
Nr4a1-4,43.57963889333246,58.9171562375376,62.89361402804784,73.78918230458595,57.432553146159414,48.67349679111055,43.57963889333246,56.812767119365525
Nr4a2-6,69.9739505398792,66.53526413723525,76.07653784276461,73.92293094088032,68.51546924169541,77.03178898608547,75.46123235253161,74.64449012749701
Nr4a2-7,72.17051292464922,75.95210496568691,77.70373556776255,70.29485665461061,70.79768042992572,81.37065245070872,68.77916360112592,46.89166021331561
Nr4a3-1,68.51546924169541,67.50681262550596,74.5021908676061,62.13588516538828,61.33323240183286,67.02784376160271,54.584823011003316,68.44755646833444
Nr4a3-2,76.26449212144679,80.90967664600103,81.328951808096,83.8491242634866,80.78527315647295,79.29696107182247,78.60094124858497,83.19217330162299
Nr4a3-3,58.9171562375376,64.89088022958434,74.26555326370672,74.96393009264334,71.58403345567818,76.850205964666,66.78710621754122,73.60602939433214
Nr5a1-1,84.03031274724015,86.93727461457618,88.52254313386013,85.09778155768915,83.51024219774924,80.46884225058271,84.87484565624955,84.06390307797092
Nr5a1-2,81.65987746875935,72.42600446411312,85.27311498438004,83.45867380235923,69.65228292358401,73.83410064748337,85.47538258216089,80.24537935535372
Nr5a1-3,81.28959972657647,82.28173174464483,83.49739080941751,80.3104968595387,84.33736924367022,90.32225575321304,72.94755358835154,85.34536460590894
Nr5a1-4,67.69253572343365,51.62760541609119,55.551393920908055,43.57963889333246,43.57963889333246,69.09225117514609,43.57963889333246,43.57963889333246
Nr5a2-1,67.23014583886929,74.41353237430526,71.80304917916246,72.60505312926789,68.40181807882666,70.45677998239012,70.16193183110781,76.95234553272412
Nr5a2-2,96.79688233497086,98.64308077034441,96.18632296867347,99.89614437287544,96.29604439390368,94.44409095159884,97.94239054235051,97.80321505726586
Nr5a2-3,55.25152489630999,76.30613845310936,75.70183712899374,77.04230359434638,77.0998118411177,86.86642025109612,61.829898214077694,80.01998499803742
Nr6a1-1,79.7151058617226,84.11228215871567,85.37375293410535,83.98297280901618,84.64640375571658,90.75058586406364,77.7786886954671,86.72530514419071
Nr6a1-2,50.854673217499844,54.93046024010364,57.98031191902808,58.77314065200072,63.774950809260865,68.04626428617905,53.8015184390951,48.67349679111055
Nr6a1-3,94.62361487353374,95.45199740346114,95.42875434174317,92.90040188584632,91.04066457773695,94.67170564953025,97.30019751395369,94.8688832830112
Nr6a1-4,76.92027568774003,81.73868279685556,82.02787532840655,79.9810628477528,79.62269119183271,90.3882810215754,68.98981429294516,84.39949800796515
Pgr-1,82.4322287715037,82.26378175122872,79.7151058617226,78.8287448359897,79.30785898722704,82.96188005243151,81.08354296823362,78.15342946633382
Pgr-2,66.87862904160663,62.562990096922825,67.61370372487976,70.29485665461061,55.25152489630999,78.45258670677237,67.69253572343365,68.47028592048746
